id,company_id,year,annual_report
582,HCLTECH,2018,http://bseindia.com/bseplus/AnnualReport/532281/5322810318.pdf
583,HCLTECH,2017,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810317.pdf
584,HCLTECH,2016,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810316.pdf
585,HCLTECH,2015,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810615.pdf
586,HCLTECH,2014,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810614.pdf
587,HCLTECH,2013,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810613.pdf
588,HCLTECH,2012,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810612.pdf
589,HCLTECH,2011,
590,HCLTECH,2010,
591,HCLTECH,2009,
592,HDFCBANK,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2160dea5-d49e-4409-83a4-c2b111a3bd12.pdf
593,HDFCBANK,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//0fb0e6bd-7110-44c3-a750-76933ddf105c.pdf
594,HDFCBANK,2022,https://www.bseindia.com/bseplus/AnnualReport/500180/73256500180.pdf
595,HDFCBANK,2021,https://www.bseindia.com/bseplus/AnnualReport/500180/68609500180.pdf
596,HDFCBANK,2020,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800320.pdf
597,HDFCBANK,2019,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800319.pdf
598,HDFCBANK,2018,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800318.pdf
599,HDFCBANK,2017,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800317.pdf
600,HDFCBANK,2016,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800316.pdf
601,HDFCBANK,2015,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800315.pdf
602,HDFCBANK,2014,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800314.pdf
603,HDFCBANK,2013,
604,HDFCBANK,2012,https://www.bseindia.com/bseplus/AnnualReport/500180/5001800312.pdf
605,HDFCBANK,2011,
606,HDFCBANK,2010,
607,HDFCBANK,2009,
608,HDFCLIFE,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f629b99-2387-483c-8557-8aa62eeb1b06.pdf
609,HDFCLIFE,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//0ad36710-bdcb-426a-9e82-420ace156e09.pdf
610,HDFCLIFE,2022,https://www.bseindia.com/bseplus/AnnualReport/540777/73107540777.pdf
611,HDFCLIFE,2021,https://www.bseindia.com/bseplus/AnnualReport/540777/68635540777.pdf
612,HDFCLIFE,2020,https://www.bseindia.com/bseplus/AnnualReport/540777/5407770320.pdf
